user_id,gender,birthdate,registered_at
1,female,1970-04-22,2023-07-01 08:13:07
2,female,1991-12-08,2023-07-01 09:53:48
3,female,1971-03-15,2023-07-01 10:07:00
4,male,1975-11-08,2023-07-01 10:28:08
5,male,2005-05-10,2023-07-01 11:02:21
6,female,1966-12-30,2023-07-01 11:38:53
7,male,1979-03-03,2023-07-01 11:53:12
8,female,2006-06-16,2023-07-01 12:32:21
9,female,1984-08-15,2023-07-01 12:33:40
10,male,2004-02-10,2023-07-01 14:17:27
11,male,2008-06-14,2023-07-02 08:57:19
12,female,1986-10-14,2023-07-02 10:35:19
13,male,1966-09-18,2023-07-02 10:35:45
14,female,1991-02-01,2023-07-02 10:41:39
15,male,1983-09-14,2023-07-02 11:01:22
16,female,1976-08-18,2023-07-02 11:08:26
17,male,1975-01-26,2023-07-02 11:35:32
18,female,1998-05-03,2023-07-02 11:44:49
19,male,2001-09-17,2023-07-02 11:45:17
20,female,1981-11-26,2023-07-02 11:58:45
21,male,1981-11-10,2023-07-02 12:03:21
22,female,1974-02-17,2023-07-02 12:21:15
23,female,1989-08-01,2023-07-02 12:29:43
24,female,1970-03-30,2023-07-02 13:36:00
25,female,1985-06-24,2023-07-02 14:09:51
26,male,1998-04-12,2023-07-02 14:21:10
27,male,1970-04-12,2023-07-02 15:28:36
28,male,1979-05-15,2023-07-02 16:52:13
29,male,1997-08-31,2023-07-02 17:32:26
30,male,1995-04-28,2023-07-03 08:38:59
31,female,1988-12-15,2023-07-03 09:09:04
32,male,1975-08-26,2023-07-03 09:18:54
33,male,1982-12-18,2023-07-03 09:53:14
34,female,1986-03-18,2023-07-03 10:40:17
35,female,2008-10-22,2023-07-03 10:50:13
36,female,1972-07-05,2023-07-03 11:33:50
37,female,1988-04-07,2023-07-03 11:34:34
38,male,1976-01-25,2023-07-03 11:57:18
39,female,1995-08-17,2023-07-03 12:38:40
40,male,1964-10-24,2023-07-03 12:51:25
41,male,1965-08-11,2023-07-03 12:58:41
42,male,1995-01-12,2023-07-03 13:37:56
43,female,1987-10-06,2023-07-03 14:02:15
44,male,1969-12-14,2023-07-03 14:26:40
45,male,2001-11-08,2023-07-03 15:42:43
46,male,1970-05-20,2023-07-04 09:22:05
47,male,1976-10-02,2023-07-04 11:13:53
48,female,1991-08-28,2023-07-04 11:43:43
49,male,1998-06-30,2023-07-04 11:44:36
50,female,1993-09-16,2023-07-04 11:57:23
51,male,2007-08-02,2023-07-04 12:19:52
52,male,2004-02-17,2023-07-04 12:24:22
53,female,2005-03-20,2023-07-04 13:16:50
54,male,1982-02-03,2023-07-04 13:45:53
55,female,1975-08-11,2023-07-04 13:51:26
56,male,2009-01-09,2023-07-04 14:02:25
57,female,1965-01-20,2023-07-04 14:29:31
58,male,1998-12-23,2023-07-04 16:42:00
59,female,1972-11-20,2023-07-04 16:56:55
60,male,2001-09-01,2023-07-04 18:17:54
61,male,1982-02-04,2023-07-05 10:16:19
62,female,1998-05-10,2023-07-05 10:46:04
63,female,1977-11-07,2023-07-05 10:52:39
64,female,1980-01-05,2023-07-05 10:55:31
65,female,1983-09-24,2023-07-05 11:11:54
66,female,1994-05-06,2023-07-05 11:14:06
67,male,1997-08-31,2023-07-05 12:41:22
68,male,1988-09-09,2023-07-05 13:24:40
69,male,1988-02-01,2023-07-05 13:55:06
