docker compose logs --timestamps -f
joiner_q1                          | 2025-10-01T02:58:05.427488905Z DEBUG: Read TIMEOUTS.startup-timeout: 5.0 -> 5.0
joiner_q1                          | 2025-10-01T02:58:05.427528176Z DEBUG: Read TIMEOUTS.consumer-graceful-shutdown: 5.0 -> 5.0
joiner_q1                          | 2025-10-01T02:58:05.427529929Z DEBUG: Read TIMEOUTS.consumer-thread-join: 2.0 -> 2.0
joiner_q1                          | 2025-10-01T02:58:05.427530830Z DEBUG: Read TIMEOUTS.consumer-force-stop: 2.0 -> 2.0
joiner_q1                          | 2025-10-01T02:58:05.427531611Z DEBUG: Read TIMEOUTS.data-events-time-limit: 0.1 -> 0.1
joiner_q1                          | 2025-10-01T02:58:05.623105616Z Starting joiner for q1 query...
joiner_q1                          | 2025-10-01T02:58:05.623118713Z Joiner listening on transactions_filtered_Q1_b
joiner_q1                          | 2025-10-01T02:58:05.640357798Z Joiner will output to /app/output/q1_unsorted.csv
joiner_q1                          | 2025-10-01T02:58:07.420504164Z Initialized CSV file /app/output/q1_unsorted.csv with headers: ['transaction_id', 'final_amount']
joiner_q1                          | 2025-10-01T02:58:07.441594019Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3461
joiner_q1                          | 2025-10-01T02:58:07.441597463Z Wrote 53 rows to /app/output/q1_unsorted.csv. Total rows written: 53
joiner_q1                          | 2025-10-01T02:58:07.494942934Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3198
joiner_q1                          | 2025-10-01T02:58:07.494958524Z Wrote 49 rows to /app/output/q1_unsorted.csv. Total rows written: 102
joiner_q1                          | 2025-10-01T02:58:07.589908809Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3130
joiner_q1                          | 2025-10-01T02:58:07.589922688Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 150
joiner_q1                          | 2025-10-01T02:58:07.687888981Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=1891
joiner_q1                          | 2025-10-01T02:58:07.687904482Z Wrote 29 rows to /app/output/q1_unsorted.csv. Total rows written: 179
joiner_q1                          | 2025-10-01T02:58:07.791746206Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3926
joiner_q1                          | 2025-10-01T02:58:07.791762788Z Wrote 60 rows to /app/output/q1_unsorted.csv. Total rows written: 239
joiner_q1                          | 2025-10-01T02:58:07.882598283Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3601
joiner_q1                          | 2025-10-01T02:58:07.882616277Z Wrote 55 rows to /app/output/q1_unsorted.csv. Total rows written: 294
joiner_q1                          | 2025-10-01T02:58:08.003400795Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2867
joiner_q1                          | 2025-10-01T02:58:08.006600221Z Wrote 44 rows to /app/output/q1_unsorted.csv. Total rows written: 338
joiner_q1                          | 2025-10-01T02:58:08.116141348Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3144
joiner_q1                          | 2025-10-01T02:58:08.116145574Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 386
joiner_q1                          | 2025-10-01T02:58:08.209303701Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3130
joiner_q1                          | 2025-10-01T02:58:08.209324509Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 434
joiner_q1                          | 2025-10-01T02:58:08.498259169Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3523
joiner_q1                          | 2025-10-01T02:58:08.498276372Z Wrote 54 rows to /app/output/q1_unsorted.csv. Total rows written: 488
joiner_q1                          | 2025-10-01T02:58:08.520776762Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3457
