docker compose logs -t -f
sender_grouper_q3                                                      | 2025-11-16T19:56:29.060182541Z DEBUG: Read TIMEOUTS.startup-timeout: 5.0 -> 5.0
sender_grouper_q3                                                      | 2025-11-16T19:56:29.060226500Z DEBUG: Read TIMEOUTS.consumer-graceful-shutdown: 5.0 -> 5.0
sender_grouper_q3                                                      | 2025-11-16T19:56:29.060229500Z DEBUG: Read TIMEOUTS.consumer-thread-join: 2.0 -> 2.0
sender_grouper_q3                                                      | 2025-11-16T19:56:29.060231458Z DEBUG: Read TIMEOUTS.consumer-force-stop: 2.0 -> 2.0
sender_grouper_q3                                                      | 2025-11-16T19:56:29.060233250Z DEBUG: Read TIMEOUTS.data-events-time-limit: 0.1 -> 0.1
sender_grouper_q3                                                      | 2025-11-16T19:56:29.070019833Z [INFO] Using batch_size: 5000, query_type: q3, include_headers: False
sender_grouper_q3                                                      | 2025-11-16T19:56:29.076404666Z 2025-11-16 19:56:29 INFO     Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
sender_grouper_q3                                                      | 2025-11-16T19:56:29.080009875Z 2025-11-16 19:56:29 INFO     Socket connected: <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.83', 42022), raddr=('172.18.0.5', 5672)>
sender_grouper_q3                                                      | 2025-11-16T19:56:29.082076791Z 2025-11-16 19:56:29 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3f0d2e0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3f0d2e0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
sender_grouper_q3                                                      | 2025-11-16T19:56:29.100199833Z 2025-11-16 19:56:29 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3f0d2e0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
sender_grouper_q3                                                      | 2025-11-16T19:56:29.100228375Z 2025-11-16 19:56:29 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3f0d2e0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
