year_half_created_at,store_name,tpv
2024-H1,G Coffee @ Alam Tun Hussein Onn,2053737.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,4107474.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,6161211.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,8214948.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,10268685.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,12322422.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,14376159.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,16429896.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,18483633.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,20537370.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,22591107.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,24644844.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,26698581.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,28752318.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,30806055.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,32859792.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,34913529.00
2024-H1,G Coffee @ Alam Tun Hussein Onn,36967266.00
2024-H1,G Coffee @ Bandar Seri Mulia,2067969.00
2024-H1,G Coffee @ Bandar Seri Mulia,4135938.00
2024-H1,G Coffee @ Bandar Seri Mulia,6203907.00
2024-H1,G Coffee @ Bandar Seri Mulia,8271876.00
2024-H1,G Coffee @ Bandar Seri Mulia,10339845.00
2024-H1,G Coffee @ Bandar Seri Mulia,12407814.00
2024-H1,G Coffee @ Bandar Seri Mulia,14475783.00
2024-H1,G Coffee @ Bandar Seri Mulia,16543752.00
2024-H1,G Coffee @ Bandar Seri Mulia,18611721.00
2024-H1,G Coffee @ Bandar Seri Mulia,20679690.00
2024-H1,G Coffee @ Bandar Seri Mulia,22747659.00
2024-H1,G Coffee @ Bandar Seri Mulia,24815628.00
2024-H1,G Coffee @ Bandar Seri Mulia,26883597.00
2024-H1,G Coffee @ Bandar Seri Mulia,28951566.00
2024-H1,G Coffee @ Bandar Seri Mulia,31019535.00
2024-H1,G Coffee @ Bandar Seri Mulia,33087504.00
2024-H1,G Coffee @ Bandar Seri Mulia,35155473.00
2024-H1,G Coffee @ Bandar Seri Mulia,37223442.00
2024-H1,G Coffee @ Damansara Saujana,2067700.50
2024-H1,G Coffee @ Damansara Saujana,4135401.00
2024-H1,G Coffee @ Damansara Saujana,6203101.50
2024-H1,G Coffee @ Damansara Saujana,8270802.00
2024-H1,G Coffee @ Damansara Saujana,10338502.50
2024-H1,G Coffee @ Damansara Saujana,12406203.00
2024-H1,G Coffee @ Damansara Saujana,14473903.50
2024-H1,G Coffee @ Damansara Saujana,16541604.00
2024-H1,G Coffee @ Damansara Saujana,18609304.50
2024-H1,G Coffee @ Damansara Saujana,20677005.00
2024-H1,G Coffee @ Damansara Saujana,22744705.50
2024-H1,G Coffee @ Damansara Saujana,24812406.00
2024-H1,G Coffee @ Damansara Saujana,26880106.50
2024-H1,G Coffee @ Damansara Saujana,28947807.00
2024-H1,G Coffee @ Damansara Saujana,31015507.50
